Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness,MinNormDistance,MinFDistance
All,2.71709e+03,1.76002e+01,8.00155e+01,5.00251e+01,2.71622e+03,6.16772e+01,4.16971e+01,1.74715e+01,3.87000e+01,1.12643e+01,1.16453e+01,-8.73736e-01,6.26257e+00,9.13660e-02,5.02513e+00
All,2.80809e+03,1.85883e+01,8.00654e+01,5.50168e+01,2.81549e+03,7.73961e+01,4.40322e+01,1.81101e+01,5.72635e+01,1.12643e+01,1.78144e+01,7.40427e+00,5.88173e+00,1.82126e-01,1.00170e+01
All,1.68604e+03,1.06870e+01,8.99783e+01,-1.99894e+01,1.69121e+03,3.82845e+01,1.01637e+01,1.08783e+01,3.02950e+01,1.12643e+01,1.41207e+01,5.16701e+00,1.19419e+00,1.81626e-01,9.98943e+00
All,1.81774e+03,1.22353e+01,9.00364e+01,-1.50265e+01,1.82301e+03,2.67322e+01,8.85800e+00,1.17262e+01,1.72511e+01,1.12643e+01,8.61151e+00,5.27775e+00,1.61974e+00,9.13924e-02,5.02660e+00
All,1.95091e+03,1.24410e+01,8.99701e+01,-9.99112e+00,1.95081e+03,2.22162e+01,9.77828e+00,1.25482e+01,9.35966e+00,1.12643e+01,5.09884e+00,-1.03333e-01,2.11290e+00,5.24197e-04,3.12127e-02
All,2.07282e+03,1.37512e+01,9.00212e+01,-5.01335e+00,2.07269e+03,2.26454e+01,1.21649e+01,1.33321e+01,6.87702e+00,1.12643e+01,3.59253e+00,-1.33653e-01,1.47611e+00,4.29100e-04,2.50790e-02
All,2.19260e+03,1.42041e+01,8.99819e+01,1.23068e-02,2.19088e+03,2.32725e+01,1.23660e+01,1.40924e+01,7.20093e+00,1.12643e+01,3.37014e+00,-1.72488e+00,8.15011e-01,3.75878e-04,2.19051e-02
All,2.30590e+03,1.47263e+01,9.00286e+01,4.96013e+00,2.30537e+03,2.48219e+01,1.41844e+01,1.48288e+01,7.52305e+00,1.12643e+01,3.39889e+00,-5.27228e-01,9.51197e-01,8.67594e-04,4.90674e-02
All,2.40767e+03,1.60128e+01,8.99260e+01,1.00038e+01,2.41681e+03,2.65010e+01,1.63208e+01,1.55456e+01,7.51030e+00,1.12643e+01,3.31380e+00,9.14216e+00,1.00903e+00,1.23499e-03,7.40815e-02
All,2.53095e+03,1.53777e+01,9.00606e+01,1.50060e+01,2.53157e+03,2.83290e+01,1.84561e+01,1.62838e+01,7.71293e+00,1.12643e+01,3.22005e+00,6.21434e-01,1.40253e+00,1.01528e-03,6.08614e-02
All,2.65365e+03,1.74053e+01,9.00154e+01,1.99541e+01,2.64021e+03,3.04327e+01,2.07373e+01,1.69826e+01,8.38084e+00,1.12643e+01,3.25313e+00,-1.34453e+01,1.67318e+00,8.72653e-04,4.83910e-02
All,2.74899e+03,1.78688e+01,8.99501e+01,2.49807e+01,2.74998e+03,3.26705e+01,2.30619e+01,1.76887e+01,9.17848e+00,1.12643e+01,3.39046e+00,9.89065e-01,1.60277e+00,9.02451e-04,5.34904e-02
All,2.85321e+03,2.02852e+01,9.00259e+01,2.99658e+01,2.86530e+03,3.47889e+01,2.52984e+01,1.84304e+01,9.57856e+00,1.12643e+01,3.45636e+00,1.20901e+01,1.58168e+00,7.57682e-04,4.29435e-02
All,2.98252e+03,1.83497e+01,9.00033e+01,3.49570e+01,2.97936e+03,3.68900e+01,2.76066e+01,1.91641e+01,9.65929e+00,1.12643e+01,3.36076e+00,-3.16263e+00,1.60229e+00,7.83178e-04,4.30951e-02
