Map,MeaPower,UncerMeaPower,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,PowerDiff,Skewness
All,2.74217e+03,1.71363e+01,9.99974e+01,1.49989e+01,2.74636e+03,2.85924e+01,1.62047e+01,1.77046e+01,8.62741e+00,1.23372e+01,3.85226e+00,4.18316e+00,1.20635e+00
All,2.89249e+03,1.94292e+01,9.99664e+01,1.99079e+01,2.89326e+03,3.00108e+01,1.78166e+01,1.86517e+01,8.35017e+00,1.23372e+01,3.66035e+00,7.70849e-01,1.16784e+00
All,3.04971e+03,1.98474e+01,9.99732e+01,2.49628e+01,3.04465e+03,3.17913e+01,1.96458e+01,1.96276e+01,8.64426e+00,1.23372e+01,3.54377e+00,-5.06000e+00,1.50103e+00
All,3.19433e+03,1.99922e+01,9.99830e+01,2.99807e+01,3.19577e+03,3.38980e+01,2.15756e+01,2.06018e+01,9.66570e+00,1.23372e+01,3.67448e+00,1.43735e+00,1.60013e+00
All,3.36477e+03,2.17882e+01,1.00074e+02,3.49957e+01,3.35133e+03,3.51053e+01,2.20357e+01,2.16047e+01,1.06193e+01,1.23372e+01,3.88258e+00,-1.34354e+01,1.39495e+00
All,3.51272e+03,2.24717e+01,1.00002e+02,3.99780e+01,3.50413e+03,3.81769e+01,2.56982e+01,2.25897e+01,1.09220e+01,1.23372e+01,3.90982e+00,-8.58944e+00,1.33392e+00
All,3.66581e+03,2.41879e+01,1.00012e+02,4.49850e+01,3.66478e+03,4.07967e+01,2.83481e+01,2.36253e+01,1.16245e+01,1.23372e+01,3.90727e+00,-1.03528e+00,2.05273e+00
All,3.83037e+03,2.55072e+01,1.00017e+02,4.99680e+01,3.83018e+03,5.00622e+01,3.79910e+01,2.46916e+01,1.65806e+01,1.23372e+01,5.11037e+00,-1.92946e-01,2.79796e+00
All,4.00227e+03,2.55753e+01,9.99230e+01,5.50266e+01,4.00079e+03,5.27431e+01,3.23674e+01,2.57914e+01,2.89327e+01,1.23372e+01,8.92594e+00,-1.48284e+00,2.80094e+00
All,1.66064e+03,1.02044e+01,1.09997e+02,-1.49549e+01,1.65578e+03,6.99590e+01,2.12470e+01,1.06741e+01,5.98074e+01,1.23372e+01,2.44900e+01,-4.86692e+00,1.61646e+00
All,1.88376e+03,1.18251e+01,1.09981e+02,-9.96864e+00,1.87604e+03,4.61264e+01,1.72776e+01,1.20941e+01,3.60455e+01,1.23372e+01,1.52110e+01,-7.71613e+00,1.92668e+00
